36_maigetsu,2.7787755102,3.4827755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,4.4747755102,5.1227755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,6.0827755102,6.8027755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,8.0187755102,8.6027755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,9.9227755102,10.6347755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,12.0107755102,12.5867755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,13.7227755102,14.4027755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,15.8747755102,16.3867755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,17.5707755102,18.2107755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,19.2987755102,19.9707755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,21.0747755102,21.7787755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,23.0427755102,23.7067755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,24.9227755102,25.5947755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,26.9307755102,27.6667755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,28.7227755102,29.3947755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,30.5787755102,31.2747755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,32.5947755102,33.2187755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,34.2907755102,34.9227755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,35.9627755102,36.5707755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,37.6267755102,38.2667755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,39.4507755102,40.1387755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,41.3627755102,42.1547755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,45.0747755102,45.7067755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,47.0907755102,47.7147755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,49.1627755102,49.8267755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,51.0827755102,51.7787755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,53.1147755102,53.7867755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,54.9547755102,55.5707755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,56.8907755102,57.4107755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,58.6827755102,59.3947755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,62.7707755102,63.4987755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,64.6667755102,65.3627755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,66.5867755102,67.3067755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,68.5467755102,69.1067755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,70.2987755102,70.9707755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,72.0827755102,72.7627755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u
36_maigetsu,73.8987755102,74.5547755102;まいげつ;まいげつ;マイゲツ;m a i g e ts u